,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
87,"Senior Data Scientist, Machine Learning - Growth",Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Senior,93000.0,187000.0,USD,Data Science,,Machine Learning
88,Head of Messaging & Experience Data Science,Discord,"San Francisco, CA",4.6,62,51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD),Normal,83000.0,193000.0,USD,Data Science,,Data Science
89,"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,97000.0,189000.0,USD,Data Science,,Data Analyst
90,"Staff Data Scientist, Virtual HQ - Slack",Salesforce,"San Francisco, CA",4.4,3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Normal,142000.0,142000.0,USD,Data Science,,Data Science
91,Senior Data Scientist - Analytics,"Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Senior,113000.0,191000.0,USD,Data Science,,Data Analyst
92,Machine Learning Engineer,Amazon.com Services LLC,"San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,96000.0,180000.0,USD,Data Science,,Machine Learning
93,Machine Learning Scientist,Glassdoor,"San Francisco, CA",4.0,188,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Normal,129000.0,162000.0,USD,Data Science,,Machine Learning
94,"Data Scientist, Supply",Wish,"San Francisco, CA",3.6,109,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),Normal,103000.0,184000.0,USD,Data Science,,Data Science
95,"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",3.9,229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,Normal,99000.0,196000.0,USD,Data Science,,Data Analyst
96,Machine Learning Engineer,Salesforce,"San Francisco, CA",4.4,3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Normal,90000.0,192000.0,USD,Data Science,,Machine Learning
97,"Product Data Scientist, Camera",Snapchat,"San Francisco, CA",4.0,140,1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Normal,107000.0,208000.0,USD,Data Science,,Data Science
98,Data Science Engineer,Wayfair,"San Francisco, CA",3.4,1938,10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD),Normal,90000.0,160000.0,USD,Data Science,,Data Engineer
99,Head of Machine Learning,Sony Interactive Entertainment PlayStation,"San Francisco, CA",3.9,100,5001 to 10000 Employees,1994,Subsidiary or Business Segment,Video Games,Media,$10+ billion (USD),Normal,108000.0,237000.0,USD,Data Science,,Machine Learning
100,"Developer Relations Engineer, Team Lead, Data Analytics",Google,"San Francisco, CA",4.5,4665,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),Senior,108000.0,213000.0,USD,Data Science,,Data Engineer
101,Senior Technical Recruiter (Machine Learning),"Grammarly, Inc.","San Francisco, CA",4.9,121,201 to 500 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Senior,88000.0,200000.0,USD,Data Science,,Machine Learning
102,Data Scientist (Telemedicine Analytics),Forward,"San Francisco, CA",4.0,86,Unknown,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Normal,84000.0,164000.0,USD,Data Science,,Data Analyst
103,"Senior Data Scientist, Analytics & Data",Williams Sonoma,"San Francisco, CA",3.2,1127,10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD),Senior,84000.0,157000.0,USD,Data Science,,Data Analyst
104,"Senior Data Scientist, Slack Connect",Salesforce,"San Francisco, CA",4.4,3514,10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),Senior,122000.0,122000.0,USD,Data Science,,Data Science
